,Module #,Module,Method,MID,key
0,1,Research,1:1 Interview,M_0,1
1,1,Research,AEIOU,M_1,1
2,1,Research,Closed Card Sorting,M_2,1
3,1,Research,Community Appraisal,M_3,1
4,1,Research,Competitive Analysis,M_4,1
5,1,Research,Conjoint Analysis,M_5,1
6,1,Research,Conversation Cafe,M_6,1
7,1,Research,Design Ethnography,M_7,1
8,1,Research,Focus Group,M_8,1
9,1,Research,Open Card Sorting,M_9,1
10,1,Research,POEMS,M_10,1
11,1,Research,POSTA,M_11,1
12,1,Research,Usability Testing,M_12,1
13,1,Research,User Observation,M_13,1
14,2,Analysis,2x2 Matrix,M_14,1
15,2,Analysis,Affinity Diagram,M_15,1
16,2,Analysis,Atomize,M_16,1
17,2,Analysis,Concept Mapping,M_17,1
18,2,Analysis,Context Mapping,M_18,1
19,2,Analysis,Customer Journey Mapping,M_19,1
20,2,Analysis,Empathy Map,M_20,1
21,2,Analysis,How Might We,M_21,1
22,2,Analysis,Kano Analysis,M_22,1
23,2,Analysis,Mind Mapping,M_23,1
24,2,Analysis,Powers of 10,M_24,1
25,2,Analysis,Reframing,M_25,1
26,2,Analysis,Spectrum Mapping,M_26,1
27,2,Analysis,Task Analysis,M_27,1
28,2,Analysis,Touchpoint Matrix,M_28,1
29,2,Analysis,Why-How Laddering,M_29,1
30,3,Ideate,3-12-3 Brainstorming,M_30,1
31,3,Ideate,6-3-5 Brainwriting,M_31,1
32,3,Ideate,6-Up Sketches,M_32,1
33,3,Ideate,Anti-Problem,M_33,1
34,3,Ideate,Attribute Listing,M_34,1
35,3,Ideate,Biomimicry,M_35,1
36,3,Ideate,Borda Count Voting,M_36,1
37,3,Ideate,Brainstorming,M_37,1
38,3,Ideate,Design Heuristics,M_38,1
39,3,Ideate,Design the Box,M_39,1
40,3,Ideate,Do-Redo-Undo,M_40,1
41,3,Ideate,Forced Analogy,M_41,1
42,3,Ideate,Visual Brainstorming,M_42,1
43,3,Ideate,Weighted Matrix,M_43,1
44,4,Build,Additive Manufacturing,M_44,1
45,4,Build,Direct Shell Production Casting,M_45,1
46,4,Build,Experience Prototyping,M_46,1
47,4,Build,Fused Deposition Modelling,M_47,1
48,4,Build,Laminated Object Manufacturing,M_48,1
49,4,Build,Laser Cutting,M_49,1
50,4,Build,Prototyping,M_50,1
51,4,Build,Rapid Prototyping,M_51,1
52,4,Build,Service Prototyping,M_52,1
53,4,Build,Tangible Prototyping,M_53,1
54,4,Build,Water Jet Cutting,M_54,1
55,4,Build,Wireframe,M_55,1
56,5,Communicate,7Ps Framework,M_56,1
57,5,Communicate,Business Model Canvas,M_57,1
58,5,Communicate,Composite Characters,M_58,1
59,5,Communicate,Design Roadmap,M_59,1
60,5,Communicate,Envisionment Video,M_60,1
61,5,Communicate,Personas,M_61,1
62,5,Communicate,Service Blueprint,M_62,1
63,5,Communicate,Storyboard,M_63,1
64,5,Communicate,Usability Report,M_64,1
